"id","restriction_import","document_import","id_importfee_id","document_import_en","restriction_import_en"
"1",,"مستودع أومحل + 2 عامل","01012100","Warehouse or shop + 2 workers",
"2",,"مستودع أومحل + 2 عامل","01022100","Warehouse or shop + 2 workers",
"3","شريطة أن يكون الوصف التجاري:  أبقار للتربية حصراً","مستودع أومحل + 2 عامل","01022900","Warehouse or shop + 2 workers","Provided that the commercial description is: cows exclusively for breeding"
"4","شريطة أن تكون حصراً ذكور عجول","مستودع أومحل + 2 عامل","01029000","Warehouse or shop + 2 workers","Provided that they are exclusively male calves"
"5","شريطة أن تكون ذكور أغنام للذبح المباشر","مستودع أومحل + 2 عامل","01041000","Warehouse or shop + 2 workers","Provided that they are male sheep for direct slaughter"
"6","شريطة أن تكون صيصان","مستودع أومحل + 2 عامل","01051100","Warehouse or shop + 2 workers","Provided they are chicks"
"7","لمنشاة صناعية قائمة وتعمل فقط وبموجب كتاب مخصصات وأن تكون المادة غير جاهزة للاستهلاك المباشر","مستودع أومحل + 2 عامل + منشأة صناعية","02071200","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under an allotment letter, and the material is not ready for direct consumption"
"8","لمنشاة صناعية قائمة وتعمل فقط وبموجب كتاب مخصصات وأن تكون المادة غير جاهزة للاستهلاك المباشر","مستودع أومحل + 2 عامل + منشأة صناعية","02071400","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under an allotment letter, and the material is not ready for direct consumption"
"9","لمنشاة صناعية قائمة وتعمل فقط وبموجب كتاب مخصصات وأن يكون اللحم مجمد منزوع العظم ميكانيكياً مفروم ناعم حصراً","مستودع أومحل + 2 عامل + منشأة صناعية","02072700","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under an allocation letter, the meat must be frozen, mechanically deboned and finely chopped exclusively."
"10","شريطة أن يكون الوصف التجاري حليب أطفال رضع ","مستودع أومحل + 2 عامل","04021010","Warehouse or shop + 2 workers","Provided that the commercial description is infant formula"
"11","شريطة أن يكون الوصف التجاري حليب بودرة مجفف ","مستودع أومحل + 2 عامل","04021090","Warehouse or shop + 2 workers","Provided that the commercial description is powdered milk"
"12","شريطة أن يكون الوصف التجاري حليب أطفال رضع ","مستودع أومحل + 2 عامل","04022110","Warehouse or shop + 2 workers","Provided that the commercial description is infant formula"
"13","شريطة أن يكون الوصف التجاري حليب بودرة مجفف ","مستودع أومحل + 2 عامل","04022190","Warehouse or shop + 2 workers","Provided that the commercial description is powdered milk"
"14","شريطة أن يكون الوصف التجاري حليب أطفال رضع ","مستودع أومحل + 2 عامل","04022910","Warehouse or shop + 2 workers","Provided that the commercial description is infant formula"
"15","شريطة أن يكون الوصف التجاري حليب بودرة مجفف ","مستودع أومحل + 2 عامل","04022990","Warehouse or shop + 2 workers","Provided that the commercial description is powdered milk"
"16",,"مستودع أومحل + 2 عامل","04041000","Warehouse or shop + 2 workers",
"17",,"مستودع أومحل + 2 عامل","04051000","Warehouse or shop + 2 workers",
"18",,"مستودع أومحل + 2 عامل","04059010","Warehouse or shop + 2 workers",
"19",,"مستودع أومحل + 2 عامل","04071100","Warehouse or shop + 2 workers",
"20","شريطة أن يكون الوصف التجاري:  بيض تفقيس حصراً","مستودع أومحل + 2 عامل","04071900","Warehouse or shop + 2 workers","Provided that the commercial description is: hatching eggs exclusively"
"21","شريطة أن يكون الوصف التجاري:  مسحوق البيض الكامل المجفف حصراً","مستودع أومحل + 2 عامل","04089100","Warehouse or shop + 2 workers","Provided that the commercial description is: exclusively dried whole egg powder"
"22",,"مستودع أومحل + 2 عامل","05080000","Warehouse or shop + 2 workers",
"23",,"مستودع أومحل + 2 عامل","05111000","Warehouse or shop + 2 workers",
"24","شريطة أن يكون لمنشأة زراعية استثمارية","مستودع أومحل + 2 عامل + منشأة زراعية استثمارية","06022000","Warehouse or shop + 2 workers + agricultural investment facility","Provided that it is for an agricultural investment facility"
"25",,"مستودع أومحل + 2 عامل","06029000","Warehouse or shop + 2 workers",
"26",,"مستودع أومحل + 2 عامل","07011000","Warehouse or shop + 2 workers",
"27","لمنشاة صناعية قائمة وتعمل فقط و بموجب كتاب مخصصات وأن تكون المادة غير جاهزة للاستهلاك المباشر","مستودع أومحل + 2 عامل + منشأة صناعية","07115100","Warehouse or shop + 2 workers + industrial facility","For an existing industrial facility operating only under an allotment letter, and the material is not ready for direct consumption"
"28",,"مستودع أومحل + 2 عامل","07131010","Warehouse or shop + 2 workers",
"29","شريطة أن يكون الوصف التجاري بازيلاء وأن تكون لمنشأة صناعية عاملة وأن تكون المواد المذكورة معرضة لعمليات تصنيعية (كونسروة)","مستودع أومحل + 2 عامل + منشأة صناعية","07131090","Warehouse or shop + 2 workers + industrial facility","Provided that the commercial description is for peas and that it is for an operating industrial facility and that the mentioned materials are subject to manufacturing processes (conservatory)."
"30","لمنشأة صناعية عاملة وأن تكون المواد المذكورة معرضة لعمليات تصنيعية (كونسروة)","مستودع أومحل + 2 عامل + منشأة صناعية","07132000","Warehouse or shop + 2 workers + industrial facility","For an operating industrial facility, and that the aforementioned materials are subject to manufacturing processes (conservatory)"
"31",,"مستودع أومحل + 2 عامل","07133110","Warehouse or shop + 2 workers",
"32","شريطة أن يكون الوصف التجاري فاصولياء وأن تكون لمنشأة صناعية عاملة وأن تكون المواد المذكورة معرضة لعمليات تصنيعية (كونسروة)","مستودع أومحل + 2 عامل + منشأة صناعية","07133190","Warehouse or shop + 2 workers + industrial facility","Provided that the commercial description is for beans and that it is for an operating industrial facility and that the mentioned materials are subjected to manufacturing processes (conservatory)."
"33",,"مستودع أومحل + 2 عامل","07133210","Warehouse or shop + 2 workers",
"34","شريطة أن يكون الوصف التجاري فاصولياء وأن تكون لمنشأة صناعية عاملة وأن تكون المواد المذكورة معرضة لعمليات تصنيعية (كونسروة)","مستودع أومحل + 2 عامل + منشأة صناعية","07133290","Warehouse or shop + 2 workers + industrial facility","Provided that the commercial description is for beans and that it is for an operating industrial facility and that the mentioned materials are subjected to manufacturing processes (conservatory)."
"35",,"مستودع أومحل + 2 عامل","07133310","Warehouse or shop + 2 workers",
