"id","second_description","id_desc_id"
"020443","لحم ضاني مفروم","02044300"
"1","خيول من أصل عربي","01012100"
"10","أنواع أخرى من لحوم البقر منزوعة العظم ، مفرومة ، غير مطبوخة ، مجمدة ، مخصصة للمعالجة الصناعية ، معبأة في أكياس 15 كجم # لحم بقري مجمد مسحب. الفشار (الجانب الداخلي والأمامي للوحة). تأتي في أكياس بلاستيكية بوزن 650 جراماً بوزن متوسط ​​(يتراوح بين 500 و 800 جرام حسب القطعة) مصممة للاستخدام الغذائي.","02023000"
"100","حبش#محضرات طعام من لحم الديك الرومي والخضروات ، تحتوي على 20-25٪ من لحم الديك الرومي ، ومعبأة للبيع بالتجزئة","16023100"
"101","تحضير الطعام ، من نوع الباييلا ، يعتمد على الأرز ولحم الدجاج وبلح البحر ، معبأ للبيع بالتجزئة في صينية بلاستيكية محكمة الغلق","16023200"
"102","بورك كرانش - نكهة لحم الخنزير المقدد. كرانش بنكهة لحم الخنزير المقدد. منتج طبيعي مصنوع من شطف رجوع البورسلين ، مطبوخ على درجات حرارة محددة بمزيج من التوابل","16024900"
"103","مكمل غذائي على شكل مسحوق لحم (كلوي) في كبسولات. المنتج متوفر في عبوات التجزئة / علب بلاستيكية من 180 كبسولة 450 ملغ لكل منها. وبحسب ما ورد تحتوي على مسحوق كلية اللحم البقري المجفف المبستر المجفف. يتكون غلاف الكبسولة من هيدروكسي بروبيل ميثيل سلولوز (HPMC) # محضر طعام من بلانكيت من نوع لحم العجل ، يحتوي على أكثر من 20٪ لحم ، معبأ للبيع بالتجزئة","16025000"
"104","سكر بني منكه","17019100"
"105","السكروز نقي 100٪ أبيض وعديم الرائحة # سكر البنجر الأبيض ، على شكل مسحوق بلوري أبيض ، لا يحتوي على تلوين أو نكهة ، مخصص للاستخدام كسواغ في صناعة الأدوية. # سكر نبات ( قند ) غير ملون ولا معطر","17019900"
"106"," قطر صناعي ","17021900"
"107","قطر صناعي","17023000"
"108","قطر صناعي","17024000"
"109","كريم كراميل #صلصة كراميل #معجون الكراميل  سوائل سكرية#سكر الفواكة#عسل صناعي # مالتوز وإن كان نقيا كيميائياً # سكروز غير نقي كيميائياً # فركتوز غير نقي كيميائيا # سكر محروق ( كاراميل )","17029000"
"11","لحم بطن الخنزير الطازج من الأنواع المحلية ، أصلع متنوعة ، مقدمة منفصلة ، ملفوفة ومعبأة بالتفريغ. مصممة للاستخدام الغذائي # لحم الخاصرة لحم الخنزير الأيبيري الطازج ، منزوع العظام والمغذى من البلوط من الأنواع المحلية ، أصناف خالية من الشعر ، مقدمة بشكل منفصل ، ملفوفة ومعبأة بالتفريغ. مصممة للاستخدام الغذائي # اللحوم الطازجة -اللحوم السرية-خدود طازجة -لحم سحلية طازج-لحوم ضلوع طازجة) الخالية من العظم من الخنازير الأيبيرية التي تتغذى على البلوط ، من الأنواع المحلية ، متنوعة خالية من الشعر ، مقدمة بشكل منفصل وموجز.معبأة بالتفريغ. مصممة للاستخدام الغذائي","02031900"
"110","سكاكر حلاوة ، دروبس ، وملبسات سكرية # حلاوة توفي، راحة الحلقوم ، ذوجا (حلاوة لبنية ) # ملبس على لوز وفستق ومايماثله وأصناف الأثمار القشرية المهروسة مع السكر ( مرزيبان) وما يماثله # هلام الفواكه و عجنها ورب السوس، المهيأة كمصنوعات سكرية # سكاكر السعال ( الكحة ) # #مسحوق شوكولاته ساخنة حلاوة طحينية # بودرة السكاكر تحتوي نكهة الفواكه # شوكولاته بيضاء محتوية على كحول #سائل الشوكوالاته البيضاء","17049000"
"111","شوكولا بزبدة نباتية سادة - شوكولا بزبدة نباتية مهدرجة + زبدة الكاكاو # مساحيق تحضير الأيسكريم ، محتوية على كاكاو # منتجات سكرية (حلاوة - سكاكر ) محتوية على كاكاو # هوت شوكليت بشكل مسحوق #صلصة شوكولاته الموكا#نسكافيه اوريجينال #قهوة فورية مع مبيض#بودرة شراب الشوكولاتة#شراب البندق","18062000"
"112","شوكولا زبدة الكاكاو ومحشية بكريمة - الشوكولا بزبدة نباتية محشية ","18063100"
"113","شوكولا بزبدة الكاكاو وسادة غير محشية","18063200"
"114","كريم بودنغ الشوكولاتة القابل للخبز # منتج وجبات خفيفة من الذرة المقلية # كعكة الأرز # حلوى التابيوكا##مسحوق شراب الشعير#خليط الكاكاو الساخن","19019090"
"115","مكرونة وشعيرية وأصناف مماثلة كالسباغيتي والكاتيلوني # شبس مصنوع من دقيق البطاطا  بشكل مكرونة ؛ غير جاهزة#عجائن غذائية مجمدة
والعجائن التي بشكل اصداف","19021100"
"116","نودلز دقيق العدس - نودلز دقيق الحمص # قش الشرب الصالح للاكل مصنوع من  دقيق الأرز المعالج حرارياً ونشا التابيوكا # باستا نيئة جافة بأشكال مختلفة يتم الحصول عليها من دقيق الأرز # معكرونة مصنوعة من البطاطا الحلوة ، على شكل نودلز مجففة ، غير مطبوخة ، مهيأة للبيع بالتجزئة  ","19021900"
"117","رقائق الذرة ( كورن فليكس ) وما يماثلها","19041000"
"118","بسكويت سادة # بسكويت مغطس بالشوكولا","19053100"
"119","بسكويت مغطس بالشوكولا #خبز عادي ( عيش ) بأنواعه # خبز الدابوق المعد لمرضى السكر # فطائر ، بما فيها فطائر ( البيتزا ) # حلويات شرقية ( كنافة ، بقلاوة  وما يماثلها ) # كيك ، جاتو وما يماثله # برشام من النوع المناسب للاستعمال الصيدلي # رقائق الختم # خبز البرتزيلز # الخبز غير المخمر أو الماكزوس # بسكويت عادي وإن كان مملحا","19059000"
"12","قطع اللحم المجمدة منزوعة العظم الناتجة عن التقليم الميكانيكي لألحم الخنزير والمخصصة لصناعة الأغذية لتصنيع اللحوم المعالجة أو الأطباق القائمة على اللحوم","02032900"
"120","مخللات مشكلة ( طرشي ) # فلفل اخضر محفوظة بالخل او حمض الخليك # زيتون وقبار  محفوظة بالخل او حمض الخليك # طماطم  محفوظة بالخل او حمض الخليك  # فطر وكمأة ( فقع )  محفوظة بالخل او حمض الخليك","20019000"
"121","دبس بندورة # هريس ( معجون  ) البندورة","20029000"
"122","فول مدمس # خضر وبقول بالصلصات # ملفوف مخمر (شوكورت) # ورق العنب محضر # بالميتو","20059990"
"123","خبيص ( مرملاد )","20079100"
"124","قمر الدين # ملبن ( من لب الزبيب ) # مربى وهلام الخوخ # مربى وهلام المشمش # مربى وهلام التفاح # مربى وهلام الكرز # مربى وهلام البطيخ # مربى وهلام الفراولة  # مربى وهلام التوت","20079990"
"125","زبدة  الفول السوداني # فول سوداني محمص وإن كان مملحا","20081100"
"126","لوز محمص وإن كان مملح # فستق  محمص وإن كان مملح  # بندق  محمص وإن كان مملح ","20081900"
"127","دبس تمر# ايش كوفي#شراب بذور الريحان","20098990"
"128","مستخلص قهوة مجمدة # روح القهوة # مركز القهوة ","21011100"
"129","قهوة فورية مع كريمر","21011200"
"13","حمام بري، حجل، تدرج، الفري (سمان)، دجاج الأرض، شنقب، قطا، أرطلان وبط بري: طازجة أو مبردة أو مجمدة","02089000"
"130","الخميرة","21021000"
"131","الخميرة","21022000"
"132","خميرة الألزاس","21023000"
"133","دبس فليفلة  # مايونيز # صلصة حارة # ملح الكرفس","21039000"
"134","مساحيق لصنع قشدة المائدة#منفشات  أو كريم شانتيه","21069010"
"135","ليموناضة # شراب الفاكهة #  مشروب غازي عصير التفاح معروض للبيع بالتجزئة # مشروبات غير كحولية وغير غازية معبأة للبيع بالتجزئة ومبستر # عصير ليموناضة مكربنة # مشروب قهوة غير محلى معالج بالحرارة","22021000"
"136","مشروب بروتين الصويا يحتوي على الكاكاو # مشروب بروتين الصويا المنكه # مشروب غير كحولي يعتمد على المكسرات الواردة في الفصل 8 ، بدون سكر مضاف ، ومعبأ للبيع بالتجزئة # مشروب نباتي غير كحولي بنكهة قهوة الكابتشينو يعتمد على حليب جوز الهند وماء جوز الهند مع سكر جوز الهند المضاف وخلاصة القهوة ونكهة الكابتشينو ومستحلب (E 473) ومثبتات (E 407 ،E412 ) مبستر.","22029900"
"137","عَرَق ( بطحة -  اكسترا - محجر - نصية ) # بيرة ( زجاج - علب معدنية - كحولية )","22089000"
"138","المتممات العلفية","23012000"
"139","كسبة فول الصويا","23040000"
"14","يتم تقديم لحم الخنزير المقدد من الأنواع المحلية ، أصلع ، بشكل منفصل ، على شكل ومجمد عند الاقتضاء. يتم تقديمه طازجًا ومعبأ بالتفريغ للتجميد لاحقًا. مصممة للاستخدام الغذائي # دهن وجلد الخنزير الطازج من الأنواع الداجنة ، من النوع الخالي من الشعر ، يتم تقديمه بشكل منفصل ، على شكل ومجمد عند الاقتضاء ، غير مذاب أو مستخرج بطريقة أخرى. تأتي طازجة ومعبأة بتفريغ الهواء ومجمدة مصممة للاستخدام الغذائي ","02091000"
"140","المتممات العلفية","23061000"
"141","زيوت محركات وزيوت صناعية وتشحيم","27101990"
"142","زيوت محركات وزيوت صناعية وتشحيم","27102000"
"143","نيلة طبيعية","32030000"
"144","النيلة التركيبية","32049000"
"145","الطلاء العاكس المعد لصناعة السخانات الشمسية","32081000"
"146","الطلاء العاكس المعد لصناعة السخانات الشمسية","32082000"
"147","ألوان لتعديل تدرج الألوان","32131000"
